customer_id,internal_id,obligor_name,obligor_internal_risk_rating,tin,country,industry_code,industry_code_type,internal_credit_facility_id,origination_date,maturity_date,credit_facility_type,credit_facility_purpose,committed_exposure_global,utilized_exposure_global,credit_facility_currency,probability_of_default,loss_given_default,exposure_at_default,non_accrual_date,days_principal_or_interest_past_due,participation_flag,participation_interest,net_income_current,total_assets_current,long_term_debt,current_assets_current,current_liabilities_current,guarantor_flag,guarantor_internal_id,guarantor_name,guarantor_tin,guarantor_internal_risk_rating,entity_internal_id,entity_name,entity_internal_risk_rating,date_of_financials,date_of_last_audit,cash_marketable_securities,accounts_receivable_current,inventory_current,fixed_assets,total_assets_prior_year,current_liabilities_prior_year,short_term_debt,capital_expenditures,asc_326_20,special_purpose_entity_flag,other_credit_facility_type_description,original_internal_id,stock_exchange,ticker_symbol,cusip,original_internal_credit_facility_id,line_reported_on_fr_y_9c,line_of_business,cumulative_charge_offs,days_principal_or_interest_past_due.1,lien_position,security_type,interest_rate_variability,interest_rate_index,interest_rate_spread,interest_rate_ceiling,interest_rate_floor,interest_income_tax_status,guarantor_internal_risk_rating.1,entity_internal_risk_rating.1,net_sales_current,net_sales_prior_year,operating_income,depreciation_amortization,interest_expense,accounts_receivable_prior_year,inventory_prior_year,current_assets_prior_year,tangible_assets,total_assets_current.1,accounts_payable_current,accounts_payable_prior_year,current_maturities_of_long_term_debt,long_term_debt.1,minority_interest,total_liabilities,retained_earnings,lower_of_cost_or_market_flag,snc_internal_credit_id,renewal_date,prepayment_penalty_flag,entity_industry_code,leveraged_loan_flag,disposition_flag,disposition_schedule_shift,syndicated_loan_flag,target_hold,pcd_noncredit_discount,committed_exposure_global_par_value,utilized_exposure_global_par_value,committed_exposure_global_fair_value,utilized_exposure_global_fair_value,obligor_lei,primary_source_of_repayment_lei
CUSTS5PTAJ,OBL49ZRC3,XYZ Inc,CCC,12-3456789,IN,541512,GICS,FACM6IUYM,corrupt,2033-06-27,19,25,6688930,29039385,INR,0.1106,0.2913,23577307.0,2012-08-21,101.0,3,0.4361,11720215,513080243,88012038.0,360152084,26898422,1,GRTILFAG5,Individual,98-7654321,AAA,ENTX4M7YD,Individual,AAA,2015-11-12,2022-09-22,130244227,73921956,2513869,21443411,78467237,26989922,41256861,9998438,9547304,1,Term Loan,VAL1375,Generic Text,Generic Text,103800,VAL5004,6,Generic Text,163182,701919,7,9,3,6,7.9138,1.5074,0.8723,2,Generic Text,Generic Text,90825,322243,278846,832479,3393,859665,557218,273125,553884,420960,103778,190493,139550,40077,951287,919605,339773,3,VAL4333,2023-12-31,3,561610,1,1,Generic Text,1,9.3208,794663,881651,731839,615542,436865,VQTJ52LTJMB7TRARA51P,AYLYRJA34TTU297VFRSX
"CUST,001","OBL
001",XYZ Inc,,12345678X,XX,NAIC,NAICS,"FAC,123",invalid-date,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,314261808,32314672,1,"GRT,00X",Individual,NA#,XX,"ENT,00X",Trust,AAA,2021-12-03,2017-05-25,185279038,74638774,39750344,183584389,964878702,79449409,37146555,11459890,bad,1,Term Loan,VAL4963,Generic Text,Generic Text,955202,VAL7547,2,Generic Text,308361,495821,0,8,3,0,3.3793,9.053,6.2096,1,Generic Text,Generic Text,205759,259024,563729,714302,847848,10152,829960,819670,41443,609722,79258,823637,725096,123620,865211,234799,509047,1,VAL8148,2019-07-15,1,881360,2,7,Generic Text,2,1.018,221264,674211,607240,377629,394130,3QT5OYIHWRO8S5WBLT7J,THXTGXAYG58QRIQZFX2T
CUST097G2V,OBLAW1B8B,XYZ Inc,AAA,12-3456789,ZZ,621111,NAICS,FACRTRHYK,2006-03-05,2034-11-03,15,2,47117220,39948525,EUR,2.047079907712504,16.73260109708786,4957347.0,1900-01-01,117.0,2,0.729,6581556,20365042699,72168998.0,419601663,128114580,4,GRT1M3XO8,Individual,98-7654321,C,ENTLQCFQ7,Trust,AAA,1900-01-01,2016-11-13,90003057,78380033,79365733,108630871,29368373568,179108517,27184909,13939024,1492062,1,Term Loan,VAL5232,Generic Text,Generic Text,516628,VAL9647,3,Generic Text,625041,736792,6,2,7,8,9.6005,1.7825,5.4836,1,Generic Text,Generic Text,754637,854052,124443,65100,580381,572906,259676,802138,349134,254307,500616,954759,662596,691415,858158,682313,357825,3,VAL8331,2020-01-01,3,121701,1,5,Generic Text,0,5.7391,900722,397814,205690,421918,280849,83KGAA2KNATUZ03JU8Z9,8WW4755OPF0BELK95HPX
"bad,value
",OBL9A6VDC,Individual,AAA,12-3456789,GB,12AB,SIC,FACIZEGLX,2019-03-28,2029-11-22,8,25,INVALID,8069212,usd,0.103,0.3608,10624410.0,2021-06-10,62.0,5,0.7825,14880880,673342579,33905181.0,351095515,173975474,4,GRT2ZMW5G,Individual,98-7654321,BB,ENTBK6G4Q,Trust,AAA,2002-06-12,2014-12-09,202200568,89428768,17568842,7141601,501811860,163872316,8285273,bad,4400846,1,Term Loan,VAL8270,Generic Text,Generic Text,628910,VAL4117,1,Generic Text,391408,369890,9,4,8,8,3.9098,8.6851,6.4814,1,Generic Text,Generic Text,4204,528132,269638,648101,752276,313700,357124,985834,77621,783696,566495,395083,614640,952988,100791,787410,407455,3,VAL8943,2020-01-01,1,720588,1,7,Generic Text,4,5.1514,799482,720716,183659,349876,669639,8PHCS0N5JCUWY5L092KE,B0Z3E5HBVZ5QY3C1D05G
CUSTZNVR6Q,OBLSLOGFK,ABC Corp,CCC,12-3456789,ZZ,621111,GICS,FACCDFEVB,1900-01-01,1900-01-01,1,27,37846590,4523528,USD,9.21782644595594,19.118943532090565,10486616.0,2022-07-03,83.0,5,0.1423,5622038,159386904,89589071.0,12166675080,187912647,3,GRTRN7FSF,Individual,98-7654321,C,ENTQIIGTI,Trust,BB,2002-08-16,2004-10-19,141924267,7318752156,48882236,180640370,86852060,126039432,2923909296,11883001,825045,2,Term Loan,VAL2868,Generic Text,Generic Text,814433,VAL6334,8,Generic Text,975682,220418,6,9,9,9,6.8833,1.4049,4.4477,2,Generic Text,Generic Text,516102,766889,815251,316300,593210,126086,226180,846533,494234,404449,148691,564671,400637,673600,263015,871588,392353,1,VAL4149,2019-07-15,3,858722,2,8,Generic Text,4,0.3065,909787,444650,412082,233064,797169,1C2FUNRCC4WDNOKXGXE7,VFHGONSXBL9CDZOZM1DW
"CUST,001","OBL
001",XYZ Inc,,12345678X,ZZ,NAIC,GICS,"FAC,123",1900-01-01,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,33503624624,35797919,2,"GRT,00X",Guarantee Corp,NA#,XX,"ENT,00X",Trust,C,1900-01-01,2003-05-16,76678263,11389157,61432292,199446885,206026703,182890819,28514649,3267855,8191829,2,Term Loan,VAL8827,Generic Text,Generic Text,969078,VAL8279,5,Generic Text,638642,200498,9,4,2,5,8.4507,2.6578,1.8004,2,Generic Text,Generic Text,427036,812045,195796,99843,750688,475170,472945,729657,581144,183947,452488,479179,772291,939268,257949,39766,997237,2,VAL7851,2023-12-31,2,385801,2,7,Generic Text,2,9.6747,304204,748892,553426,922174,50456,0ENM73LO1G25373IBPCC,PVK34JYC8PILFWHMCIFU
"CUST,001","OBL
001",XYZ Inc,,12345678X,XX,12AB,XYZ,"FAC,123",invalid-date,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,355284678,190107559,3,"GRT,00X",Individual,NA#,XX,"ENT,00X",Trust,BB,2003-09-01,2008-01-12,105786068,81925320,bad,117452871,159639229,173455258,35520723,14396899,bad,1,Term Loan,VAL4896,Generic Text,Generic Text,823791,VAL7214,3,Generic Text,505632,972779,2,1,2,8,5.5697,3.9657,3.1839,1,Generic Text,Generic Text,925253,336298,77025,554970,41279,580362,599484,781994,755397,118635,226095,880448,603107,107938,582862,553529,183009,1,VAL2091,2023-12-31,1,320541,1,5,Generic Text,2,0.9608,435680,838658,910764,957155,901176,RASB1D0V48LYKJ0CU25H,KH1OWZ5KB9DRRJNH31WR
"CUST,001","OBL
001",ABC Corp,,12345678X,XX,12AB,GICS,"FAC,123",corrupt,invalid-date,25,45,INVALID,INVALID,US$,high,LGD,,invalid-date,,8,all,loss,huge,,379407724,124008216,4,"GRT,00X",Guarantee Corp,NA#,XX,"ENT,00X",Trust,C,2005-07-13,2013-03-09,198270963,24170872,1694335,214583523,981070800,178043348,46586960,12691460,4065449,2,Term Loan,VAL8391,Generic Text,Generic Text,337155,VAL5015,0,Generic Text,869233,491253,0,8,7,4,5.3138,1.2461,1.8118,1,Generic Text,Generic Text,943908,121586,291573,980542,951451,306815,147898,165241,388337,787827,556556,512935,64821,965931,571381,605386,858322,3,VAL9410,2020-01-01,3,537021,1,8,Generic Text,0,8.1402,971722,528327,879968,387979,805233,SSUX517OUX8UUJFG92UT,W0GWCQXFVJA34T6M81VI
CUSTUEUZWN,OBL1JV5JS,Individual,AAA,12-3456789,US,541512,NAICS,FACQMLKRD,2008-04-11,2033-10-05,16,24,11696996,11692757,GBP,0.0383,0.5493,24032535.0,2005-03-25,108.0,5,0.1417,-4226367,565503684,92605790.0,452123667,24693780,1,GRTQX7LDG,Guarantee Corp,98-7654321,C,ENTS5I6FA,Entity LLC,AAA,2015-01-26,2003-11-09,234137610,79651433,70294790,46594694,650777263,20280475,34812042,14208255,6402676,2,Term Loan,VAL2035,Generic Text,Generic Text,660389,VAL7724,9,Generic Text,922433,934516,8,4,0,2,6.1036,1.1696,6.3149,2,Generic Text,Generic Text,109357,648558,160994,715045,256255,553074,482516,958945,221806,71824,621519,159305,125016,764790,595644,467806,518754,3,VAL6550,2020-01-01,2,26138,2,6,Generic Text,4,1.7824,643545,836950,734370,174951,466207,3Y8Y4PY6RDBHQYHXXR5S,SO5F6T4NBWWH4FS5TG1B
"CUST,001","OBL
001",XYZ Inc,,12345678X,XX,NAIC,GICS,"FAC,123",invalid-date,invalid-date,25,45,XX,??,US$,high,LGD,,invalid-date,,8,all,loss,huge,,478955790,13601807,3,"GRT,00X",Individual,NA#,XX,"ENT,00X",Trust,C,2007-10-15,2000-05-05,260815936,39396819,70518954,59448778,988136489,80072986,36912475,8664572,6338943,1,Term Loan,VAL7699,Generic Text,Generic Text,440642,VAL4443,3,Generic Text,808621,277794,2,7,9,5,5.6476,2.2968,8.2725,2,Generic Text,Generic Text,305233,193111,845301,239202,330989,772037,417449,426101,839505,799227,202595,5727,793551,487712,606159,789168,637554,1,VAL1931,2023-12-31,1,878077,1,2,Generic Text,2,6.8531,28255,601376,600439,606478,440560,9Y4NNRDEY5JPKUS8ZMDM,8XQ51D4S8SIKN82UJRWV
